id_Iris,Longueur Sépale (cm),Largeur Sépale (cm),Longueur Pétale (cm),Largeur Pétale (cm),Type Iris
23,,,1.4,0.2,0
104,4.9,3.0,1.4,0.2,0
18,4.7,3.2,1.3,0.2,0
49,4.6,3.1,1.5,0.2,0
123,5.0,3.6,1.4,0.2,0
73,5.4,3.9,1.7,0.4,0
147,4.6,3.4,1.4,0.3,0
116,5.0,3.4,1.5,0.2,0
134,4.4,,1.4,0.2,0
38,4.9,3.1,1.5,0.1,0
80,5.4,3.7,1.5,0.2,0
46,4.8,3.4,,0.2,0
63,4.8,3.0,1.4,0.1,0
24,4.3,3.0,1.1,0.1,0
43,5.8,4.0,1.2,0.2,0
60,5.7,4.4,1.5,,0
138,5.4,3.9,1.3,0.4,0
76,5.1,3.5,1.4,0.3,0
108,5.7,3.8,1.7,0.3,0
83,5.1,3.8,1.5,0.3,0
7,5.4,3.4,1.7,0.2,0
48,,3.7,1.5,0.4,0
68,4.6,3.6,1.0,0.2,0
47,5.1,3.3,1.7,0.5,0
91,4.8,3.4,1.9,0.2,0
3,5.0,3.0,1.6,0.2,0
119,5.0,3.4,1.6,0.4,0
114,5.2,3.5,1.5,0.2,0
139,5.2,3.4,1.4,0.2,0
78,4.7,3.2,1.6,0.2,0
127,4.8,3.1,1.6,0.2,0
28,5.4,3.4,,0.4,0
20,5.2,4.1,1.5,0.1,0
12,5.5,4.2,1.4,0.2,0
0,4.9,3.1,1.5,0.2,0
85,5.0,3.2,1.2,0.2,0
144,,3.5,1.3,0.2,0
30,4.9,3.6,1.4,,0
140,4.4,3.0,1.3,0.2,0
135,5.1,3.4,1.5,0.2,0
125,5.0,3.5,,0.3,0
59,4.5,2.3,1.3,0.3,0
66,4.4,3.2,1.3,0.2,0
113,5.0,3.5,1.6,0.6,0
50,5.1,3.8,1.9,0.4,0
131,4.8,3.0,1.4,0.3,0
71,5.1,,1.6,0.2,0
10,4.6,3.2,1.4,0.2,0
