PassengerId,Survived,Pclass,Sex,Embarked,FamilySize,IsAlone,CategoricalFare,CategoricalAge,Title
1,0,3,1,0,2,0,0,0,3
2,1,1,0,1,2,0,1,1,4
3,1,3,0,0,1,1,2,0,2
4,1,1,0,0,2,0,1,1,4
5,0,3,1,0,1,1,2,1,3
6,0,3,1,2,1,1,2,0,3
7,0,1,1,0,1,1,1,2,3
8,0,3,1,0,5,0,3,3,1
9,1,3,0,0,3,0,2,0,4
10,1,2,0,1,2,0,3,3,4
11,1,3,0,0,3,0,3,3,2
12,1,1,0,0,1,1,3,2,2
13,0,3,1,0,1,1,2,3,3
14,0,3,1,0,7,0,1,2,3
15,0,3,0,0,1,1,0,3,2
16,1,2,0,0,1,1,3,2,4
17,0,3,1,2,6,0,3,3,1
18,1,2,1,0,1,1,2,0,3
19,0,3,0,0,2,0,3,1,4
20,1,3,0,1,1,1,0,0,4
21,0,2,1,0,1,1,3,1,3
22,1,2,1,0,1,1,2,1,3
23,1,3,0,2,1,1,2,3,2
24,1,1,1,0,1,1,1,4,3
25,0,3,0,0,5,0,3,3,2
26,1,3,0,0,7,0,1,1,4
27,0,3,1,1,1,1,0,0,3
28,0,1,1,0,6,0,1,3,3
29,1,3,0,2,1,1,0,0,2
30,0,3,1,0,1,1,0,0,3
31,0,1,1,1,1,1,3,2,5
32,1,1,0,1,2,0,1,0,4
33,1,3,0,2,1,1,0,0,2
34,0,2,1,0,1,1,2,2,3
35,0,1,1,1,2,0,1,4,3
36,0,1,1,0,2,0,1,2,3
37,1,3,1,1,1,1,0,0,3
38,0,3,1,0,1,1,2,0,3
39,0,3,0,0,3,0,3,3,2
40,1,3,0,1,2,0,2,3,2
41,0,3,0,0,2,0,2,2,4
42,0,2,0,0,2,0,3,0,4
43,0,3,1,1,1,1,0,0,3
44,1,2,0,1,4,0,1,3,2
45,1,3,0,2,1,1,0,3,2
46,0,3,1,0,1,1,2,0,3
47,0,3,1,2,2,0,3,0,3
48,1,3,0,2,1,1,0,0,2
49,0,3,1,1,3,0,3,0,3
50,0,3,0,0,2,0,3,3,4
51,0,3,1,0,6,0,1,3,1
52,0,3,1,0,1,1,0,0,3
53,1,1,0,1,2,0,1,2,4
54,1,2,0,0,2,0,3,1,4
55,0,1,1,1,2,0,1,2,3
56,1,1,1,0,1,1,1,0,3
57,1,2,0,0,1,1,2,0,2
58,0,3,1,1,1,1,0,1,3
59,1,2,0,0,4,0,3,3,2
60,0,3,1,0,8,0,1,3,1
61,0,3,1,1,1,1,0,0,3
62,1,1,0,0,1,1,1,1,2
63,0,1,1,0,2,0,1,2,3
64,0,3,1,0,6,0,3,3,1
65,0,1,1,1,1,1,3,0,3
66,1,3,1,1,3,0,3,0,1
67,1,2,0,0,1,1,2,1,4
68,0,3,1,0,1,1,2,3,3
69,1,3,0,0,7,0,2,3,2
70,0,3,1,0,3,0,2,0,3
71,0,2,1,0,1,1,2,1,3
72,0,3,0,0,8,0,1,3,2
73,0,2,1,0,1,1,1,0,3
74,0,3,1,1,2,0,2,0,3
75,1,3,1,0,1,1,1,1,3
76,0,3,1,0,1,1,0,0,3
77,0,3,1,0,1,1,0,0,3
78,0,3,1,0,1,1,2,0,3
79,1,2,1,0,3,0,3,3,1
80,1,3,0,0,1,1,2,1,2
81,0,3,1,0,1,1,2,0,3
82,1,3,1,0,1,1,2,1,3
83,1,3,0,2,1,1,0,0,2
84,0,1,1,0,1,1,1,4,3
85,1,2,0,0,1,1,2,3,2
86,1,3,0,0,4,0,3,1,4
87,0,3,1,0,5,0,1,3,3
88,0,3,1,0,1,1,2,0,3
89,1,1,0,0,6,0,1,0,2
90,0,3,1,0,1,1,2,0,3
91,0,3,1,0,1,1,2,1,3
92,0,3,1,0,1,1,0,3,3
93,0,1,1,0,2,0,1,2,3
94,0,3,1,0,4,0,3,0,3
95,0,3,1,0,1,1,0,2,3
96,0,3,1,0,1,1,2,0,3
97,0,1,1,1,1,1,1,2,3
98,1,1,1,1,2,0,1,0,3
99,1,2,0,0,2,0,3,1,4
100,0,2,1,0,2,0,3,1,3
101,0,3,0,0,1,1,0,4,2
102,0,3,1,0,1,1,0,0,3
103,0,1,1,0,2,0,1,0,3
104,0,3,1,0,1,1,2,1,3
105,0,3,1,0,3,0,2,1,3
106,0,3,1,0,1,1,0,4,3
107,1,3,0,0,1,1,0,0,2
108,1,3,1,0,1,1,0,0,3
109,0,3,1,0,1,1,0,1,3
110,1,3,0,2,2,0,3,0,2
111,0,1,1,0,1,1,1,2,3
112,0,3,0,1,2,0,2,3,2
113,0,3,1,0,1,1,2,0,3
114,0,3,0,0,2,0,2,3,2
115,0,3,0,1,1,1,3,3,2
116,0,3,1,0,1,1,2,0,3
117,0,3,1,2,1,1,0,2,3
118,0,2,1,0,2,0,3,1,3
119,0,1,1,1,2,0,1,0,3
120,0,3,0,0,7,0,1,3,2
121,0,2,1,0,3,0,1,0,3
122,0,3,1,0,1,1,2,0,3
123,0,2,1,1,2,0,3,1,3
124,1,2,0,0,1,1,2,1,2
125,0,1,1,0,2,0,1,2,3
126,1,3,1,1,2,0,2,3,1
127,0,3,1,2,1,1,0,0,3
128,1,3,1,0,1,1,0,0,3
129,1,3,0,1,3,0,3,0,2
130,0,3,1,0,1,1,0,2,3
131,0,3,1,1,1,1,0,1,3
132,0,3,1,0,1,1,0,3,3
133,0,3,0,0,2,0,3,2,4
134,1,2,0,0,2,0,3,1,4
135,0,2,1,0,1,1,2,0,3
136,0,2,1,1,1,1,3,0,3
137,1,1,0,0,3,0,3,3,2
138,0,1,1,0,2,0,1,1,3
139,0,3,1,0,1,1,2,3,3
140,0,1,1,1,1,1,1,0,3
141,0,3,0,1,3,0,3,0,4
142,1,3,0,0,1,1,0,0,2
