PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone,Title
1,0,3,1,1,0,0,0,1
2,1,1,0,2,3,1,0,3
3,1,3,0,1,1,0,1,2
4,1,1,0,2,3,0,0,3
5,0,3,1,2,1,0,1,1
6,0,3,1,1,1,2,1,1
7,0,1,1,3,3,0,1,1
8,0,3,1,0,2,0,0,4
9,1,3,0,1,1,0,0,3
10,1,2,0,0,2,1,0,3
11,1,3,0,0,2,0,0,2
12,1,1,0,3,2,0,1,2
13,0,3,1,1,1,0,1,1
14,0,3,1,2,3,0,0,1
15,0,3,0,0,0,0,1,2
16,1,2,0,3,2,0,1,3
17,0,3,1,0,2,2,0,4
18,1,2,1,1,1,0,1,1
19,0,3,0,1,2,0,0,3
20,1,3,0,2,0,1,1,3
21,0,2,1,2,2,0,1,1
22,1,2,1,2,1,0,1,1
23,1,3,0,0,1,2,1,2
24,1,1,1,1,3,0,1,1
25,0,3,0,0,2,0,0,2
26,1,3,0,2,3,0,0,3
27,0,3,1,1,0,1,1,1
28,0,1,1,1,3,0,0,1
29,1,3,0,2,0,2,1,2
30,0,3,1,2,0,0,1,1
31,0,1,1,2,2,1,1,5
32,1,1,0,2,3,1,0,3
33,1,3,0,2,0,2,1,2
34,0,2,1,4,1,0,1,1
35,0,1,1,1,3,1,0,1
36,0,1,1,2,3,0,0,1
37,1,3,1,1,0,1,1,1
38,0,3,1,1,1,0,1,1
39,0,3,0,1,2,0,0,2
40,1,3,0,0,1,1,0,2
41,0,3,0,2,1,0,0,3
42,0,2,0,1,2,0,0,3
43,0,3,1,2,0,1,1,1
44,1,2,0,0,3,1,0,2
45,1,3,0,1,0,2,1,2
46,0,3,1,2,1,0,1,1
47,0,3,1,2,2,2,0,1
48,1,3,0,1,0,2,1,2
49,0,3,1,1,2,1,0,1
50,0,3,0,1,2,0,0,3
51,0,3,1,0,3,0,0,4
52,0,3,1,1,0,0,1,1
53,1,1,0,3,3,1,0,3
54,1,2,0,1,2,0,0,3
55,0,1,1,4,3,1,0,1
56,1,1,1,1,3,0,1,1
57,1,2,0,1,1,0,1,2
58,0,3,1,1,0,1,1,1
59,1,2,0,0,2,0,0,2
60,0,3,1,0,3,0,0,4
61,0,3,1,1,0,1,1,1
62,1,1,0,2,3,0,1,2
63,0,1,1,2,3,0,0,1
64,0,3,1,0,2,0,0,4
65,0,1,1,1,2,1,1,1
66,1,3,1,1,2,1,0,4
67,1,2,0,1,1,0,1,3
68,0,3,1,1,1,0,1,1
69,1,3,0,1,1,0,0,2
70,0,3,1,1,1,0,0,1
71,0,2,1,1,1,0,1,1
72,0,3,0,0,3,0,0,2
73,0,2,1,1,3,0,1,1
74,0,3,1,1,2,1,0,1
75,1,3,1,1,3,0,1,1
76,0,3,1,1,0,0,1,1
77,0,3,1,0,0,0,1,1
78,0,3,1,1,1,0,1,1
79,1,2,1,0,2,0,0,4
80,1,3,0,1,1,0,1,2
81,0,3,1,1,1,0,1,1
82,1,3,1,1,1,0,1,1
83,1,3,0,1,0,2,1,2
84,0,1,1,1,3,0,1,1
85,1,2,0,1,1,0,1,2
86,1,3,0,2,2,0,0,3
87,0,3,1,0,3,0,0,1
88,0,3,1,2,1,0,1,1
89,1,1,0,1,3,0,0,2
90,0,3,1,1,1,0,1,1
91,0,3,1,1,1,0,1,1
92,0,3,1,1,0,0,1,1
93,0,1,1,2,3,0,0,1
94,0,3,1,1,2,0,0,1
95,0,3,1,3,0,0,1,1
